cust_id,acc_name,acc_id
101444566,Roadside Assistance 2nd Year + 3rd Year,26
101444566,Gold AMC,20
101444566,Extended Warranty - 4th Year + 5th Year,23
896283055,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
443751686,Machined Swingarm Bobbin Kit,13
443751686,Touring Mirror Kit,18
665043524,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
644755730,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
473470725,Roadside Assistance 2nd Year + 3rd Year,26
175159817,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
806961700,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
167777143,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
169316522,Extended Warranty - 4th Year + 5th Year,23
665926738,Roadside Assistance 2nd Year + 3rd Year,26
237982178,Roadside Assistance 2nd Year + 3rd Year,26
346634570,Extended Warranty - 4th Year + 5th Year,23
282956367,Extended Warranty - 4th Year + 5th Year,23
177382956,Extended Warranty - 4th Year + 5th Year,23
779495905,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
584672702,Roadside Assistance 2nd Year + 3rd Year,26
887895084,Extended Warranty - 4th Year + 5th Year,23
453260613,Handlebar Brace Pad,9
453260613,Large Engine Guard,29
453260613,Tall Flyscreen Kit,12
453260613,Rsu Finisher Kit,32
453260613,Touring Mirror Kit,18
453260613,Machined Bar End Finisher Kit,15
453260613,Roadside Assistance 2nd Year + 3rd Year,26
453260613,Extended Warranty - 4th Year,31
137729038,Extended Warranty - 4th Year,31
334241202,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
204148085,Roadside Assistance 2nd Year + 3rd Year,26
497007153,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
541321652,Roadside Assistance 2nd Year + 3rd Year,26
541321652,Extended Warranty - 4th Year,31
968712103,Handlebar Brace Pad,9
968712103,Intake Cover Kit,16
331163259,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
636159456,Platinum AMC,22
636159456,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
799084512,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
909811981,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
